capability_id,domain,capability,module,route,exposure,persona,component,hook_or_service,tables,views,rpcs,edge_functions,storage,current_status,recommended_classification,priority,blocker,security_risk,multi_tenant_status,vertical_fit,configuration_required,dependencies,evidence,confidence,recommended_action,acceptance_criteria,owner_suggested,target_phase,notes
CRM-003,CRM,Leads / Central SDR,CRM,/app/leads,CLIENT,SDR,Leads.tsx,,leads;lead_sources;prospects,,,,,EXISTENTE ESTRUTURALMENTE,ADAPTAR,P1,não,MÉDIO,PARCIAL,ADAPTAR,sim,,src/pages/Leads.tsx;table leads;table lead_sources;src/lib/sdr/pace.ts,MÉDIO,Auditar fontes/metas/PACE; separar Kairós de fluxo cliente,Central SDR opera com metas do tenant sem depender de Kairós,Produto+Eng,0.3A,NECESSITA AUDITORIA operacional
CRM-004,CRM,Oportunidades,CRM,/app/opportunities,CLIENT,Sales+,,useOpportunities,opportunities (113 cols),commercial_won_revenue_view,,,,ATIVO,ADAPTAR,P1,não,MÉDIO,SIM,EXIGE CAMPOS VERTICAIS,sim,,table opportunities (113 cols);view commercial_won_revenue_view,MÉDIO,Adicionar data do evento/montagem/relógio; validar trigger uppercase,Oportunidade com campos verticais aparece corretamente no forecast/dashboard,Produto+Eng,0.3-template,
CRM-005,CRM,Pipelines & Kanban,CRM,/app/settings/pipelines,OWNER_ADMIN,Owner/Admin,PipelineSettings,,pipelines;stages,,,,,ATIVO,CONFIGURAR,P1,não,BAIXO,SIM,PADRÃO,sim,,src/services/crm/;table pipelines;table stages,ALTO,Criar pipelines padrão Eventos no template,Cliente Fundador recebe pipelines Pré-vendas+Vendas+Onboarding prontos,Produto,0.3-template,
CRM-006,CRM,Atividades / Next actions,CRM,/app/activities,CLIENT,Todos,,useActivities,activities (32 cols),,,,,EXISTENTE ESTRUTURALMENTE,ADAPTAR,P1,não,BAIXO,SIM,SUPORTADO,não,,table activities (32 cols),MÉDIO,Validar 'próxima atividade' vs dashboards,Regra unificada de próximo passo comprovada,Eng,0.3A,NECESSITA AUDITORIA operacional
QUAL-001,Qualificação,Frameworks configuráveis,Qualificação,/app/settings/qualification,OWNER_ADMIN,Owner/Admin,QualificationFrameworkPage,frameworksService,qualification_frameworks;qualification_criteria,,,,,ATIVO,ADAPTAR,P1,não,BAIXO,SIM,EXIGE FRAMEWORK VERTICAL,sim,,src/services/qualification/frameworksService.ts;table qualification_frameworks,MÉDIO,Criar framework padrão Eventos (data limite/decisor/fornecedor oficial),Cliente Fundador tem framework Eventos ativo por default,Produto,0.3-template,
PROP-001,Propostas,Criação/edição,Propostas,/app/proposals,CLIENT,Sales+,ProposalEditor,proposalOrchestrator,proposals (102 cols);proposal_items,,,,,ATIVO,ADAPTAR,P1,não,MÉDIO,SIM,SUPORTADO,não,,src/services/proposals/proposalOrchestrator.ts;src/lib/proposals/proposalPayments.ts;src/lib/proposals/frozenSchedule.ts;table proposals;table proposal_items,MÉDIO,Validar SSoT valor líquido; template PDF vertical,Proposta gera PDF com layout Eventos e valor líquido correto,Produto+Eng,0.3A,
PROP-002,Propostas,Link público (token),Propostas,/p/:token;/public/proposal/:token,PUBLIC,Cliente final,ProposalPublicView,,proposals,,get_proposal_by_public_token,,,EXISTENTE ESTRUTURALMENTE,ADAPTAR,P1,não,MÉDIO,PADRÃO,SUPORTADO,não,,RPC get_proposal_by_public_token;src/lib/proposalUrl.ts;table proposals,MÉDIO,Reproduzir fluxo público end-to-end; validar RLS e sanitização,Token inválido rejeita sem vazar dados; fluxo public reproduzido em staging,Eng+Security,0.3A,NECESSITA AUDITORIA operacional; hardening estrutural existe
PROP-003,Propostas,Aceite/Recusa/Expiração,Propostas,/p/:token,PUBLIC,Cliente,,,proposals;proposal_view_events,,accept_proposal;decline_proposal,,,EXISTENTE ESTRUTURALMENTE,ADAPTAR,P1,não,BAIXO,PADRÃO,SUPORTADO,não,,RPC accept_proposal;RPC decline_proposal;src/services/proposals/proposalOrchestrator.ts;table proposal_view_events,MÉDIO,Reproduzir aceite/recusa/expiração end-to-end,State machine validada por teste E2E,Eng,0.3A,NECESSITA AUDITORIA operacional
PROP-004,Propostas,PDF (bucket proposal-pdfs) e enforcement de signed URL,Propostas,N/A,CLIENT,Sales+,,,,,,,proposal-pdfs (privado),EXISTENTE ESTRUTURALMENTE,CORRIGIR,P0,sim,ALTO,EM MIGRAÇÃO,SUPORTADO,não,,supabase/migrations-staged/storage/07a_pdf_url_write_audit.sql;supabase/migrations-staged/storage/07b_pdf_url_enforcement.sql,MÉDIO,Aplicar em staging trigger de auditoria pdf_url; depois enforcement,pdf_url só via signed URL server-side; audit trigger não bloqueia writes existentes,Eng+Security,NOID-SECURITY,Subcapacidade bloqueadora agregada no P0-03 (Storage)
FORECAST-001,Forecast,Cenários probabilísticos,Forecast,/app/forecast,CLIENT,Gestor/Owner,ForecastPage,useForecast,forecast_predictions;opportunities,commercial_won_revenue_view;v_report_forecast_v2,calculateForecastScenarios,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P1,não,BAIXO,SIM,SUPORTADO,não,,src/hooks/revenue-command/useRevenueTodayCommand.ts;view commercial_won_revenue_view;view v_report_forecast_v2;RPC calculateForecastScenarios,MÉDIO,Rastrear UI→hook→view em staging; documentar reconciliação,Forecast e Revenue Command mostram mesmo valor em 5 cenários,Eng,0.3A,NECESSITA AUDITORIA operacional
REVCMD-001,Revenue,Revenue Command,Revenue,/app/revenue-command,CLIENT,Owner/Gestor,RevenueCommand,useRevenueTodayCommand,,commercial_won_revenue_view,,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P1,não,BAIXO,SIM,SUPORTADO,não,,src/hooks/revenue-command/useRevenueTodayCommand.ts;view commercial_won_revenue_view,MÉDIO,Confirmar reconciliação com Forecast/Dashboard/OTE em staging,Realizado bate em Forecast/Dashboard/OTE/Win-Loss ± R$0.01,Eng,0.3A,SSoT alinhada estruturalmente por correção recente; NECESSITA AUDITORIA operacional
DASH-001,Dashboards,Dashboard Closer,Dashboards,/app/dashboards/closer,CLIENT,Closer,CloserDashboard,useCloserDashboardData,,commercial_won_revenue_view,,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P1,não,BAIXO,SIM,SUPORTADO,não,,src/hooks/dashboard/;view commercial_won_revenue_view,MÉDIO,Testar em org limpa sem histórico,Dashboard não quebra com 0 registros,Eng,0.3A,NECESSITA AUDITORIA operacional
DASH-002,Dashboards,Dashboard CEO,Dashboards,/app/dashboards/ceo,CLIENT,Owner,,useCEODashboard,,commercial_won_revenue_view,,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P1,não,BAIXO,SIM,SUPORTADO,não,,src/hooks/dashboard/;view commercial_won_revenue_view,MÉDIO,Validar MRR/Run rate/Avulsa em org limpa,Dashboard CEO abre em org limpa sem erros,Eng,0.3A,NECESSITA AUDITORIA operacional
DASH-003,Dashboards,Central SDR,Dashboards,/app/dashboards/sdr,CLIENT,SDR,,,,,,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P1,não,BAIXO,PARCIAL,ADAPTAR,sim,,src/lib/sdr/pace.ts,MÉDIO,Auditar PACE multi-métrica,Central SDR opera para vendas e leads,Eng,0.3A,NECESSITA AUDITORIA operacional
WINLOSS-001,Win/Loss,Hub Win/Loss,Win/Loss,/app/intelligence/win-loss,CLIENT,Gestor,WinLossHub,,win_loss_records;loss_reasons,,,,,ATIVO,ADAPTAR,P1,não,BAIXO,SIM,EXIGE MOTIVOS VERTICAIS,sim,,table win_loss_records;table loss_reasons;src/services/winloss/lossSemantic.ts,MÉDIO,Configurar loss_reasons Eventos (prazo/fornecedor oficial),Cliente Fundador tem motivos verticais no template,Produto,0.3-template,
REPORTS-001,Relatórios,Relatórios v2,Relatórios,/app/reports,CLIENT,Gestor/Owner,Reports.tsx,,,v_report_forecast_v2 e outras,,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P1,não,BAIXO,SIM,SUPORTADO,não,,src/pages/Reports.tsx;view v_report_forecast_v2;src/lib/reports/,MÉDIO,Rastrear fontes por relatório,Cada relatório tem view/RPC declarado e reproduzido em staging,Eng,0.3A,NECESSITA AUDITORIA operacional
IMPEXP-001,Importação/Exportação,Import CSV empresas/contatos,Dados,/app/settings/data-management,OWNER_ADMIN,Owner/Admin,DataManagement,,import_logs,,,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P0,sim,MÉDIO,SIM,SUPORTADO,não,,src/pages/Settings.tsx;table import_logs,MÉDIO,Reproduzir import com dedupe e rollback; validar isolamento,Import de 1000 linhas com dedupe log e sem cross-org,Eng,0.3A,NECESSITA AUDITORIA operacional
IMPEXP-002,Exportação,Backup Inventário NOID,Dados,/app/settings/noid-inventory-backup,OWNER_ADMIN,Owner/Admin,NoidInventoryBackupPage,,inventory_items;inventory_families;inventory_categories;inventory_locations,,,,,ATIVO,CONFIGURAR,P2,não,BAIXO,SIM,ESPECÍFICO EVENTRIX,não,,src/pages/settings/NoidInventoryBackupPage.tsx;table inventory_items,ALTO,Manter para operação interna Eventrix; ocultar do menu cliente,Página só visível para owner/admin com feature flag,Produto,0.3-template,
ONBOARD-001,Onboarding,Jornada onboarding,Onboarding,/onboarding,PUBLIC,Novo owner,Onboarding.tsx,,onboarding_status;organizations,,,,,ATIVO,CORRIGIR,P0,sim,MÉDIO,PARCIAL,ADAPTAR,sim,,src/pages/Onboarding.tsx;table onboarding_status,MÉDIO,Onboarding assistido pela HUMANOID para Clientes Fundadores; validar retomada,Cliente Fundador chega até estado utilizável com pipelines Eventos,Produto+Eng,0.3-template,
BILLING-001,Billing,Planos e entitlements,Billing,/app/settings/billing,OWNER_ADMIN,Owner/Admin,BillingOverview,checkLimit,plans;plan_entitlements;billing_subscriptions,,,,,ATIVO,ADAPTAR,P0,sim,MÉDIO,SIM,ADAPTAR,sim,,src/services/entitlements.ts;table plans;table plan_entitlements;table billing_subscriptions,MÉDIO,Configurar planos Cliente Fundador manualmente pela HUMANOID; bloquear checkout self-service,Clientes Fundadores usam plano interno; nenhum caminho de checkout público ativo,Produto,0.3A,Blueprint Sec 22
BILLING-002,Trial,Trial e bloqueios,Billing,N/A,CLIENT,Todos,,,trial_blocks;trial_fingerprints;organization_billing_status,,,,,EXISTENTE ESTRUTURALMENTE,ADAPTAR,P1,não,MÉDIO,PARCIAL,ADAPTAR,sim,,table trial_blocks;table trial_fingerprints;table organization_billing_status,MÉDIO,Validar bloqueio suave; garantir não afeta Cliente Fundador,Cliente Fundador nunca é bloqueado por trial,Produto+Eng,0.3A,NECESSITA AUDITORIA operacional
AUTOM-001,Automações,Regras workflow,Automações,/app/settings/automation,OWNER_ADMIN,Owner/Admin,AutomationAndSequences,,workflow_rules;workflow_executions,,,,,ATIVO,ADAPTAR,P1,não,MÉDIO,SIM,SUPORTADO,não,,src/pages/AutomationAndSequences.tsx;table workflow_rules;table workflow_executions,MÉDIO,Auditar idempotência e logs; template com regras seguras,Regras template não duplicam atividades,Produto+Eng,0.3-template,NECESSITA AUDITORIA operacional
NOTIF-001,Notificações,Prime Notifications v2,Notificações,N/A,CLIENT,Todos,,,notifications_v2;notification_events;notification_delivery_logs,,,,,EXISTENTE ESTRUTURALMENTE,CORRIGIR,P1,não,BAIXO,SIM,SUPORTADO,não,,table notifications_v2;table notification_events;table notification_delivery_logs;src/lib/notifications/normalizeInboxItems.ts,MÉDIO,Testar templates em tenant limpo; verificar links quebrados,Zero notificação apontando para rota interna oculta,Eng,0.3A,NECESSITA AUDITORIA operacional
AUDIT-001,Observabilidade,Audit log,Governança,/admin/audit;/admin/logs,PLATFORM_ADMIN,HUMANOID,AdminAudit,,audit_log;system_events;auth_audit_log,,,,,ATIVO,OCULTAR,P1,não,BAIXO,PADRÃO,PADRÃO,não,,src/pages/admin/;table audit_log;table system_events;table auth_audit_log,ALTO,Manter oculto de clientes; migrar clientes para timeline_events próprio,Rota /admin/audit inacessível a Owner/Admin cliente,HUMANOID,0.3-hide,
INTERNAL-001,Interno,Kairós Hub,Intelligence,/app/intelligence/kairos,CLIENT?,HUMANOID (operação interna),KairosHub,,kairos_*,,,,,ATIVO,OCULTAR,P0,sim,ALTO,SIM,FORA DO ESCOPO,não,,src/pages/intelligence/KairosHub.tsx,ALTO,Ocultar do menu e adicionar guard de rota,Rota Kairós retorna 404 para cliente comum,Produto+Eng,0.3-hide,
INTERNAL-002,Interno,Apollo ROI/Reveal,Intelligence,/app/intelligence/apollo-roi,CLIENT?,HUMANOID (operação interna),ApolloRoi,,apollo_*,,,,,ATIVO,OCULTAR,P0,sim,ALTO,PADRÃO,FORA DO ESCOPO,não,,src/pages/intelligence/ApolloRoi.tsx,ALTO,Ocultar completamente,Rota /app/intelligence/apollo-roi retorna 404 para cliente,Produto+Eng,0.3-hide,
INTERNAL-003,Interno,NOID Intelligence Hub (Agents+Builder+Simulator+HH Lab+MCP+Learning),AI,/app/settings/noid-intelligence/*,OWNER_ADMIN,HUMANOID (operação interna),NoidIntelligenceHub,,ai_agents;ai_agent_*;mcp_*,,,,,ATIVO,OCULTAR,P0,sim,ALTO,PADRÃO,FORA DO ESCOPO,não,,src/App.tsx (linhas 934-953);src/services/ai-agents/,ALTO,Ocultar todo o subárvore /noid-intelligence para tenants não-HUMANOID,Rota bloqueada por entitlement/platform_admin,Produto+Eng,0.3-hide,15+ rotas
INTERNAL-004,Interno,Optimization Hub / Experiments / Skills / KnowledgeGraph,AI,/app/intelligence/*,CLIENT?,HUMANOID (operação interna),,,,,,,,ATIVO,OCULTAR,P0,sim,ALTO,PADRÃO,FORA DO ESCOPO,não,,src/App.tsx (rotas /app/intelligence/*);src/pages/intelligence/OptimizationHub.tsx;src/pages/intelligence/ExperimentsHub.tsx,ALTO,Ocultar,Rotas retornam 404 para cliente comum,Produto+Eng,0.3-hide,
INTERNAL-005,Interno,Roleplay / Video Library,Coaching,/app/roleplay/*,CLIENT?,HUMANOID (operação interna),,,,,,,,ATIVO,OCULTAR,P1,não,MÉDIO,PADRÃO,FORA DO ESCOPO,não,,src/pages/roleplay/,ALTO,Ocultar do template Eventos; manter interno,Rotas /app/roleplay/* retornam 404 para cliente,Produto,0.3-hide,
INTERNAL-006,Interno,Vibe Selling,Coaching,/app/vibe-selling,CLIENT?,HUMANOID (operação interna),,,vibe_alerts;vibe_narratives,,,,,ATIVO,OCULTAR,P1,não,MÉDIO,PADRÃO,FORA DO ESCOPO,não,,table vibe_alerts;table vibe_narratives,ALTO,Ocultar,Rota /app/vibe-selling retorna 404 para cliente,Produto,0.3-hide,
INTERNAL-007,Interno,Community,Comunidade,/app/community,CLIENT?,HUMANOID (operação interna),Community.tsx,,community_*,,,,,ATIVO,OCULTAR,P2,não,BAIXO,PADRÃO,FORA DO ESCOPO,não,,src/pages/Community.tsx,ALTO,Ocultar do template Eventos,Rota /app/community retorna 404 para cliente,Produto,0.3-hide,
INTERNAL-008,Interno,AI Operations,AI,/app/ai-operations,PLATFORM_ADMIN?,HUMANOID (operação interna),AIOperations,,ai_*,,,,,ATIVO,OCULTAR,P0,sim,ALTO,PADRÃO,FORA DO ESCOPO,não,,src/pages/AIOperations.tsx,ALTO,Ocultar,Rota /app/ai-operations retorna 404 para cliente,Produto+Eng,0.3-hide,
PLACEHOLDER-001,Placeholders,NoidPlaceholder rotas,Interno,/app/settings/noid-intelligence/{orchestrations|logs|tools|memories},OWNER_ADMIN,HUMANOID (operação interna),NoidPlaceholder,,,,,,,PLACEHOLDER,OCULTAR,P0,sim,ALTO,N/A,FORA DO ESCOPO,não,,src/App.tsx (linhas 941 e 947),ALTO,Remover do menu; deixar rota escondida ou retornar 404,Rotas placeholder inacessíveis a cliente,Produto,0.3-hide,5 ocorrências
STORAGE-001,Segurança,Buckets públicos,Storage,N/A,CLIENT,Todos,,,,,,,avatars;organization-logos;product-images;proposal-layouts (públicos hoje),EXISTENTE ESTRUTURALMENTE,CORRIGIR,P0,sim,ALTO,VARIÁVEL,PADRÃO,não,,storage.buckets (6 buckets; 4 públicos);docs/security/storage-classification.csv;supabase/migrations-staged/storage/,ALTO,Aplicar migrations staged (staging) para privatizar proposal-layouts + rename opportunity-files,proposal-layouts privado; signed URL fluxo aprovado,Security,NOID-SECURITY,4 buckets públicos hoje
LANDING-001,Landing,Provas sociais/claims,GTM,/,PUBLIC,Prospect,Index.tsx,,,,,,,ATIVO,CORRIGIR,P0,sim,ALTO,N/A,ADAPTAR,não,,src/pages/Index.tsx;Blueprint Sec 21 (bloqueador),ALTO,Remover claims não comprovados; substituir por cases reais autorizados,Landing sem cliente fictício ou estatística sem baseline,Marketing+Produto,NOID-GTM,
REPO-001,Segurança,Repositório público,Governança,N/A,PUBLIC,Todos,,,,,,,,CONFIRMADO,CORRIGIR,P0,sim,ALTO,N/A,N/A,não,,DesenvolvedoresLEGAL/noidcrm público no metadata atual do GitHub;.env versionado (git ls-files .env);ausência de .env em .gitignore,ALTO,Decisão executiva: tornar privado OU manter público com auditoria forense e aceite formal do risco; adicionar .env ao .gitignore; rotacionar secrets se necessário,Repositório privado com .env removido do tracking e histórico auditado (preferencial),Fundador+Eng+Security,NOID-SECURITY,Gate imediato. Não alterar visibilidade nesta sprint documental
DEFINER-001,Segurança,SECURITY DEFINER hardening,Governança,N/A,N/A,Sistema,,,,,379 funções DEFINER,,,ATIVO,PRONTO,P1,não,MÉDIO,PADRÃO,PADRÃO,não,,docs/security/phase1-5-linter-triage.md;docs/security/linter-warning-matrix.csv,ALTO,Manter; monitorar novas migrations,Toda função DEFINER com search_path=public; sem EXECUTE para PUBLIC,Security,ongoing,Controle de segurança estrutural — não é capacidade funcional do Revenue Core
SUPPORT-001,Suporte,Central de suporte/tickets,Suporte,/app/support,CLIENT,Todos,,,support_tickets,,,,,EXISTENTE ESTRUTURALMENTE,ADAPTAR,P2,não,BAIXO,SIM,PADRÃO,não,,table support_tickets,MÉDIO,Auditar links e conteúdo,Central de suporte curada para Eventos,Produto,0.3A,NECESSITA AUDITORIA operacional
DOCS-001,Docs,Docs públicas,Docs,/docs;/docs/:cat;/docs/:cat/:slug,PUBLIC,Todos,DocsPublic,,help_articles,,,,,ATIVO,ADAPTAR,P1,não,BAIXO,N/A,ADAPTAR,não,,src/pages/Docs.tsx;table help_articles,MÉDIO,Curar conteúdo Eventos; remover referências internas HUMANOID (Kairós/Apollo/Autonomous),Docs sem referência a Kairós/Apollo/Autonomous,Produto,0.3A,
LEGAL-001,Legal,Termos e Privacidade,Legal,/terms;/privacy,PUBLIC,Todos,,,,,,,,ATIVO,CORRIGIR,P0,sim,ALTO,N/A,ADAPTAR,não,,src/App.tsx (rotas /terms e /privacy),MÉDIO,Revisar/completar; anexar DPA/SLA para Clientes Fundadores,Termos vigentes cobrem multi-tenant e LGPD,Legal+Produto,NOID-GTM,
