hardcode_id,domain,module,file_path,symbol,line_or_location,hardcode_type,current_value_or_behavior,severity,functional_or_visual,tenant_impact,segment_impact,current_classification,recommended_classification,recommended_destination,migration_strategy,regression_risk,evidence,status
HC-011,integration,Proposals,src/lib/proposals/inventoryDemandSnapshot.ts,snapshot builder,file scope,coupled_logic,"Runtime migrado para domínio genérico src/inventory/demand/ (snapshot v2). Bridge legado @deprecated preservado apenas para compatibilidade; aliases eventrix_* permanecem no serializer apenas quando provider_type='eventrix'.",MEDIUM,functional,medium,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,abstract_inventory_provider,Aliases Eventrix removíveis quando 100% dos snapshots históricos forem revalidados (VERT-01.2E+).,low,VERT-01.2D-C: serializeInventoryDemandSnapshotV2 + useProposalInventoryDemandSnapshots gravando algorithm_version='inventory-demand-v2',DECOUPLED_WITH_LEGACY_ALIAS
HC-012,integration,Proposals,src/lib/proposals/inventoryDemandPreview.ts,demand preview,file scope,coupled_logic,"Runtime migrado para buildInventoryDemandPreview genérico. Bridge legado @deprecated delega ao domínio genérico assumindo provider_type='eventrix' para consumidores não migrados.",MEDIUM,functional,medium,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,abstract_inventory_provider,Remover bridge quando não houver mais consumidores legados (VERT-01.2E+).,low,VERT-01.2D-C: useProposalInventoryDemandPreview usa useInventoryProvider + buildInventoryDemandPreview,DECOUPLED_WITH_LEGACY_ALIAS
HC-013,integration,Proposals,src/components/proposals/ProposalInventoryDemandPreview.tsx,component,file scope,coupled_ui,"UI passou a exibir category_name/family_name/item_kind genéricos; provider aparece apenas como contexto. Estado 'unsupported' renderizado para Native. Nenhum acesso runtime a eventrix_*.",LOW,visual,low,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,provider_name_from_config,Manter monitoramento de strings residuais; sem ação obrigatória.,low,VERT-01.2D-C: componente refatorado para campos genéricos,DECOUPLED_WITH_LEGACY_ALIAS
HC-014,integration,Proposals,src/components/proposals/ProposalInventoryDemandSnapshotDetails.tsx,component,file scope,coupled_ui,"UI passou a normalizar snapshots via normalizeInventoryDemandSnapshot (v1/v2). Snapshots v1 rotulados como 'Formato legado' sem quebrar leitura. Aliases eventrix_* só aparecem quando o snapshot original é Eventrix.",LOW,visual,low,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,provider_name_from_config,Aliases removíveis junto com HC-011 quando snapshots forem revalidados.,low,VERT-01.2D-C: componente integrado ao compatibility reader,DECOUPLED_WITH_LEGACY_ALIAS
HC-015,vertical_events,Products,src/hooks/products/useProductInventoryRequirements.ts,hook,file scope,coupled_logic,"Colunas físicas eventrix_category_id/eventrix_category_name/eventrix_family_id/eventrix_family_name/eventrix_item_kind permanecem na tabela product_inventory_requirements e no contrato TS. Dead code (useEventrixInventoryCache) removido em VERT-01.2E-A; storage coupling permanece.",MEDIUM,functional,medium,vertical_events,OPTIONAL_INTEGRATION,OPTIONAL_INTEGRATION,provider_adapter,Criar façade genérica (category_ref/name/family_ref/name/item_kind/provider_type) com mapper storage↔domain em VERT-01.2E-B; sem migration física obrigatória.,medium,VERT-01.2E-A: dead code removido; colunas físicas intactas,PENDING_GENERIC_FACADE
HC-016,vertical_events,Sidebar,src/components/AppSidebar.tsx,menu comment,line 104,dead_code_hint,Comentário indica Inventário oculto do menu principal,LOW,visual,low,vertical_events,LEGACY,TENANT_CONFIG,feature_flag,Habilitar via feature flag por tenant/pack,low,src/components/AppSidebar.tsx:104,IDENTIFIED
HC-017,integration,Types,src/integrations/supabase/types.ts,generated_type,line 8123 area,coupled_column_name,Coluna primeiro_nome/ultimo_nome em contacts (pt-BR nomenclature),LOW,functional,low,universal,LEGAL_HARDCODE,CORE_UNIVERSAL,i18n_only,Manter (é convenção do produto BR) — apenas documentar,low,generated file,IDENTIFIED
HC-018,vertical_events,Types,src/integrations/supabase/types.ts,enum_value,lines 39699 & 40100,enum_literal,Enum contendo 'Expositor',MEDIUM,functional,medium,vertical_events,VERTICAL_PACK,VERTICAL_PACK,pack_seeded_enum,Trocar por lookup table seeded pelo pack,medium,generated file,IDENTIFIED
HC-019,vertical_events,Sourcing,src/services/intelligence/icpIntelligence.ts,ICP examples,lines 9-10,inline_example,"Exemplos 'expositores__premium', 'Expositores Premium'",LOW,visual,low,vertical_events,VERTICAL_PACK,VERTICAL_PACK,pack_seeded_content,Mover para seed do pack Events,low,src/services/intelligence/icpIntelligence.ts,IDENTIFIED
HC-020,integration,Sourcing,supabase/functions/lead-sourcing,ExpoFP provider,edge function,provider_specific,Provider ExpoFP embutido no engine de sourcing (vertical eventos),MEDIUM,functional,medium,vertical_events,VERTICAL_PACK,VERTICAL_PACK,provider_registry,Registry de providers por pack,medium,mem://architectural-decision/intelligence/expofp-provider-sourcing,IDENTIFIED
